AUTHOR,TITLE,SCORE
顾漫,何以笙箫默,9.2
威廉·H·麦加菲 编,美国语文（上下册）,9.2
八月长安,你好，旧时光（三周年纪念版）,9.2
【美】基思 E. 斯坦诺维奇（...,超越智商,9.2
[美] Paul Graham,黑客与画家,8.8
林达,历史深处的忧虑,8.8
张羽,只有医生知道!,8.8
[美] 威廉·曼彻斯特,光荣与梦想,8.8
[美国] J. D. 塞林格,麦田里的守望者,8.8
[美] Bruce Eckel,Java编程思想 （第4版）,8.8
刘慈欣,三体Ⅲ,8.8
"［奥］弗兰兹·卡夫卡 著,叶廷...",卡夫卡全集,8.8
刘慈欣,流浪地球,8.8
Bruce Barnbaum,摄影的艺术,8.8
高木直子,一个人去跑步,8.8
袁珂,中国神话传说（上下）,8.8
[捷克] 米兰·昆德拉,不能承受的生命之轻,8.8
[日] 安倍夜郎,深夜食堂 03,8.8
[日] 安倍夜郎,深夜食堂 02,8.8
：（美）诺曼•道伊奇（Norm...,重塑大脑，重塑人生,8.8
蒋勋,孤独六讲,8.8
[法] 大仲马,基督山伯爵（上下）,8.8
陈忠实,白鹿原,8.8
罗素,西方哲学史（上卷）,8.8
[日] 伊坂幸太郎,金色梦乡,9.0
顾城,顾城诗全集,9.0
阿耐,大江东去（共三部）,9.0
[英] 纽特·斯卡曼,神奇动物在哪里,9.0
(美)罗伯特·M.波西格,禅与摩托车维修艺术,9.0
考拉小巫,考拉小巫的英语学习日记,9.0
[美]纳西姆•尼古拉斯•塔勒布,反脆弱,9.0
孙皓晖,大秦帝国(套装全6部11卷),9.0
[美] 乔治·R. R. 马丁...,冰与火之歌·卷二·列王的纷争（全三册）,9.0
（日）东野圭吾,嫌疑人X的献身,9.0
[美] 悉达多·穆克吉,众病之王,9.0
[英]亚当·斯密,国富论,9.0
"Dawkins, Richar...",自私的基因,9.0
大冰,他们最幸福,9.0
[美] Charles Pet...,编码,9.0
[美]吉莉安·弗琳,消失的爱人,9.0
(英)威廉·萨默塞特·毛姆,毛姆短篇小说精选集,9.0
唐德剛,晚清七十年 （全五冊）,9.0
西蒙娜・德・波伏娃,第二性,9.0
〔美〕费曼,别闹了，费曼先生,9.0
[美]乔治·R. R. 马丁,冰与火之歌·卷三·冰雨的风暴（全三册）,9.6
[美] 罗伯特·所罗门,大问题,9.6
（美）史蒂夫.尼森,日本蜡烛图技术,9.6
[日] 村上春树,海边的卡夫卡,9.6
林欣浩,佛祖都说了些什么?,9.6
迈克尔·道布斯,纸牌屋,9.6
克里希那穆提,人生中不可不想的事,9.6
纳西姆•尼古拉斯•塔勒布 (N...,黑天鹅,9.6
南怀瑾,南怀瑾选集-(全10册),9.6
安倍夜郎,深夜食堂 01,9.6
[英] 道格拉斯·亚当斯,银河系漫游指南,9.6
金庸,射雕英雄传（套装共4册）,9.6
箫鼎,诛仙,9.6
刘震云,一句顶一万句,9.6
钱钟书,围城,9.6
弗雷德里克·S·米什金,货币金融学,9.6
[美]墨菲,第一本经济学,9.6
刘慈欣,球状闪电,9.6
马尔科姆·格拉德威尔,异类,9.6
[美] 阿什利·万斯,硅谷钢铁侠,9.6
吴晓波,激荡三十年：中国企业1978~2008. 上,9.0
唐浩明,曾国藩(共三册),9.0
杨绛,走到人生边上,9.0
[英] 安德鲁·霍奇斯,艾伦·图灵传,9.0
司马迁,史记（全十册）,9.0
海宴,琅琊榜,9.0
索甲仁波切,西藏生死书,9.0
薛兆丰,经济学通识,9.0
[美] 彼得·德鲁克,卓有成效的管理者,9.0
"朱生豪,宋清如",朱生豪情书全集,9.0
陈用仪,英语常用词疑难用法手册,9.0
"[美] 罗纳德·阿德勒,[美]...",沟通的艺术,9.0
海蒂•格兰特•霍尔沃森 (He...,成功，动机与目标,9.0
[美]查尔斯·韦兰,赤裸裸的统计学,9.0
罗杰·克劳利 (Roger C...,海洋帝国,9.0
金庸,倚天屠龙记,9.0
郑渊洁,郑渊洁童话全集(33卷),9.0
[美] 特德·蒋,你一生的故事,9.0
古龙著,新版古龙全集(一箱53册),9.0
顾漫,微微一笑很倾城,9.0
J.K. Rowling,Harry Potter and the Sorcerer's Stone,9.2
弗洛伊德,梦的解析,9.2
山冈庄八,《德川家康》,9.2
[美] Nicholas C....,JavaScript高级程序设计（第3版）,9.2
[美]唐纳德·A·诺曼,设计心理学,9.2
錢穆,國史大綱（上下）,9.2
陈丹青,陌生的经验,9.2
维吉尔•M•希利尔 (Virg...,美国学生世界历史（上下册）,9.2
[日]夏目漱石,我是猫,9.2
